ltable_id,rtable_id,sensitive
9658,7865,False
8608,7296,True
8484,8026,True
5687,4453,False
10531,9696,True
8210,6826,False
4186,3432,True
8525,6564,True
4847,4617,True
9728,9156,False
9660,7360,False
8316,6342,True
9639,6832,False
7711,6440,True
10421,9853,False
10261,9081,True
9886,7769,False
4926,1740,False
7065,6232,True
841,299,False
9957,7634,False
9543,7910,False
4508,2631,False
6462,6149,False
7030,6719,False
5157,1994,False
3619,1195,False
10527,6661,True
10485,10147,True
5313,2124,True
10649,6939,False
3719,1083,True
10642,8978,True
4488,4150,True
9508,8859,False
10536,6396,True
9526,6524,True
8335,6050,False
10377,7067,True
9610,7787,True
9288,6057,False
3749,3233,True
648,616,False
10338,9378,True
10562,10050,True
7520,6847,True
9878,8303,False
4914,1375,True
7637,7162,False
6857,6789,False
9127,6839,False
10165,8911,True
6935,6090,False
9540,7095,True
4004,1521,False
8851,6510,True
5659,1800,False
8804,6665,True
7021,6096,True
10018,8598,False
4627,1087,False
10351,9956,False
9491,8228,False
10398,9917,False
9816,8915,False
10127,6851,True
8752,6455,False
4797,1971,True
4334,3894,True
4824,2294,False
8591,6291,False
8883,6698,False
8468,7071,False
9261,6423,False
7446,6135,False
8957,7666,False
7696,6154,False
5760,2112,False
10545,8988,False
9970,6796,False
7319,6545,True
8985,8593,False
9367,8352,True
10306,9866,False
9230,6016,True
9976,7100,False
8662,7463,False
8698,8310,False
851,585,True
7258,7136,False
10218,9457,False
10747,10487,False
9873,6031,False
3466,2583,False
8649,6138,True
8338,7515,True
10185,9714,True
5760,4454,False
8667,6799,True
10923,10904,False
3521,3038,False
659,188,False
8488,6264,False
10890,8009,True
10610,7275,False
9021,8290,False
10269,6265,True
9247,8025,False
9679,8040,False
10176,9631,False
4623,3780,False
5786,4209,False
9540,8653,True
10598,8998,True
10084,9453,False
7791,6242,True
7288,7159,False
9063,8170,True
7740,7254,False
10727,7931,False
10076,7798,False
8234,6386,False
10219,9447,True
9161,7683,True
10744,7380,True
10098,6393,False
5195,4003,False
8389,6524,True
7209,6789,False
10698,10111,False
4661,4659,False
9792,9453,False
5482,1489,True
9982,6690,True
1188,1061,True
10153,8761,False
7969,7111,False
10524,6267,True
3654,2841,False
10697,6172,False
10496,9753,False
9417,6385,False
8156,6171,True
3749,2018,True
8569,6706,False
4157,3915,False
8034,7686,True
503,93,True
7340,7241,True
10815,10711,False
8700,6848,True
8818,7085,True
10528,9449,False
8408,6868,True
2631,2264,False
8752,7973,False
8026,6554,True
7721,6344,True
9262,6199,False
7954,7626,False
6970,6794,False
7605,6476,True
10557,7143,False
3354,2204,False
9882,6834,False
754,11,True
9184,7757,True
10332,8675,True
10943,10530,False
5099,1866,True
9955,7077,False
9931,7036,False
5143,4807,False
10567,7749,False
1950,1393,False
8445,6472,False
10491,7594,True
8847,7802,False
8564,7095,True
10436,6143,True
10924,7474,True
9815,8231,False
7273,6998,True
9243,8167,False
5567,1991,False
10979,10741,True
10022,6344,True
10848,7366,False
7737,7009,False
2005,1943,False
4761,1407,False
7694,7393,True
9253,7267,False
6590,6104,False
9324,6304,False
10001,6980,False
1890,1836,True
9526,8910,True
10465,6954,False
4419,3994,False
10227,7206,True
9891,6655,False
5776,2849,False
2512,2145,False
10476,8505,False
10563,6019,False
10424,9685,False
8993,6057,False
5343,4730,False
8391,6636,False
4008,2667,True
3555,2999,False
6633,6302,True
309,137,False
9860,7702,False
8897,6528,False
10030,8230,False
800,245,False
8381,6848,True
10506,6230,True
10718,8686,True
6047,6036,True
8593,7151,False
10954,6068,True
9254,7523,False
10395,9339,False
9313,8033,False
10005,7951,True
10160,8597,False
5700,2999,False
10302,8126,False
3619,2459,False
10904,9095,False
9742,7706,True
7899,7054,False
926,555,True
10028,8306,False
7001,6483,False
8756,8738,True
2787,1885,False
5277,1043,False
980,593,True
3512,3456,False
9320,7842,True
897,69,False
3760,3218,True
4576,3493,True
5891,4003,False
566,247,False
7645,6135,False
9835,7241,True
7545,7415,False
10559,8001,False
6870,6848,False
8023,6998,True
5774,2258,True
10827,7799,False
9212,8509,True
4840,3084,False
8422,7366,False
2754,1868,True
7507,7144,False
10509,6957,True
10034,9909,False
9424,8668,True
4561,1701,False
7269,6220,False
9879,7112,False
8294,7716,False
3640,1465,True
4076,1402,True
9877,8508,True
7530,7469,False
2250,1979,True
9126,8370,False
8098,6361,False
8656,7065,True
2408,1160,False
8259,7581,False
3973,1812,True
9517,8664,False
6869,6699,False
2957,2932,True
5623,1497,True
8446,8329,True
10705,10462,False
8383,8236,False
3585,2205,True
10465,6667,False
4508,2997,False
8118,6805,True
5475,2688,False
5933,1672,False
10324,10235,False
8796,6810,True
8867,8797,False
10526,8454,True
9658,6893,False
10508,6733,True
10022,9987,True
5113,3653,True
9656,9120,False
8409,8185,False
9600,6682,False
7794,6193,False
10402,8043,False
10753,9999,False
7955,6910,False
938,825,False
8413,6413,False
10839,10374,True
9830,6159,True
5650,2232,True
8537,8094,True
151,7,True
9934,9749,False
8483,8259,True
9314,7890,True
5238,4419,False
10392,7604,True
8596,6918,True
10979,10525,True
4451,3342,True
8721,7608,True
9561,8876,False
7359,6699,False
9495,7078,False
8152,6414,False
3088,1370,True
5363,1773,False
6562,6325,True
5273,2606,True
10599,7233,False
9888,8816,True
10707,9901,False
10965,7515,True
10946,7377,True
10996,8426,False
9893,8237,False
10236,6833,True
10261,8159,True
9343,7531,True
9401,9218,False
10474,8833,True
8337,7100,False
10902,10879,False
10564,7785,False
7576,6818,False
10611,8766,True
10449,6963,True
9849,7037,False
632,224,True
10102,8702,False
5540,5123,True
8676,8475,False
10677,8637,False
4681,2706,False
8402,6769,True
5561,1922,False
8315,8289,True
7832,6097,False
5916,2103,False
4295,1816,False
10165,8658,True
7785,7736,False
10455,6525,False
10581,9833,True
4696,1491,False
9813,9269,False
10126,9445,False
9979,7594,True
9560,8756,True
10671,9289,False
5891,4749,False
9013,6611,False
7531,7003,True
4574,2876,False
10635,8096,False
3784,3059,True
10088,9811,True
1649,1051,False
4501,2062,True
9725,9390,True
7922,7341,True
6843,6527,False
3805,2001,True
7541,6970,False
9024,8185,False
1564,1438,False
10165,9512,True
8265,6588,False
9989,6865,False
7809,6077,False
9230,8815,True
7638,6665,True
1578,1333,True
7943,6696,False
9045,8179,False
8574,6554,True
8593,6771,False
4436,2183,True
2977,2610,False
9414,6612,False
9384,6896,False
5153,2232,True
6751,6161,False
9832,6186,True
2207,1481,False
828,590,True
10854,8025,False
7488,6161,False
8551,7467,True
10690,8370,False
4896,2578,True
9806,9604,False
4096,3245,False
628,470,False
10756,9985,False
10317,10304,False
2972,2886,True
10977,6831,False
7784,7013,False
8540,8014,False
9240,8686,True
8393,6668,False
10532,8938,True
383,61,False
10280,9026,True
5500,4876,True
2972,1555,True
9899,8966,False
5988,4793,True
8049,7196,True
8428,6963,True
10937,9720,False
10169,6685,False
8268,6456,True
9366,7640,False
4342,2489,True
10780,10537,False
422,205,False
8857,7498,False
191,64,True
10614,8239,True
8188,6128,True
834,276,False
697,329,True
9274,7737,False
10246,9986,False
9377,6572,False
5962,1018,False
8966,8776,False
9435,7920,True
9729,7525,False
9342,6225,False
5924,3112,True
3956,1301,False
7475,6541,False
9530,8973,True
10948,6515,True
4848,4035,True
7395,7380,True
10420,7558,False
10417,8284,True
10964,8455,True
2271,1492,True
663,85,True
6846,6594,False
8909,6337,False
10115,7552,False
8980,6791,False
10157,9143,False
8512,8485,False
10163,7280,True
8716,8081,True
7934,6448,True
7055,6506,False
9783,9651,False
10454,6551,False
426,179,False
9258,8680,False
10643,10577,True
4777,3470,True
10058,9802,True
10916,9490,True
8447,6925,False
7972,6697,True
10692,6832,False
4775,2423,True
9763,6002,False
6511,6362,False
7724,6306,False
4506,4163,False
10596,6716,False
8654,7865,False
10867,7174,False
9628,7326,True
10076,6655,False
10240,7625,False
765,493,False
7173,6485,True
10759,7450,False
9802,8675,True
8636,6355,True
7989,6286,False
4529,1381,True
4955,4575,True
9941,7272,True
9496,7603,True
2232,1114,True
7851,7020,False
824,220,False
7310,6451,True
10786,8572,True
10782,8180,False
4074,1187,False
10169,8940,False
7567,7290,True
298,282,True
5504,2172,True
10947,9874,True
4465,1222,False
9985,9768,False
10774,6660,False
6862,6747,False
222,107,True
9189,8348,False
5446,2602,False
409,302,True
9811,7683,True
3585,1333,True
3997,1087,False
10119,8596,True
978,844,False
10523,8615,False
10646,9689,False
10692,9366,False
7211,6821,True
7730,7665,False
9107,8035,False
3164,2358,True
8825,6952,False
4159,3607,True
9403,8259,False
10867,6730,False
4310,1002,False
10379,10359,False
8588,7172,False
2972,2683,True
8326,6997,True
6961,6183,True
3866,3029,False
9287,6345,False
7148,7076,True
4623,2207,False
7093,6488,False
845,146,False
9028,6127,True
10431,7268,False
5862,2591,False
10893,8437,False
5783,5229,True
9776,7107,False
7186,6461,False
8803,7919,False
9262,6743,False
5157,3120,False
5722,4509,False
2510,2202,False
10098,9989,False
7880,6348,True
