ltable_id,rtable_id
0,218
1,219
2,220
3,221
4,222
5,223
6,224
7,225
8,226
9,227
10,228
11,229
12,230
13,231
14,232
15,233
16,234
17,235
18,236
19,237
20,238
21,239
22,240
23,241
24,242
25,243
26,244
27,245
28,246
29,247
30,248
31,249
32,250
33,251
34,252
35,253
36,254
37,255
38,256
39,257
40,258
41,259
42,260
43,261
44,262
45,263
46,264
47,265
48,266
49,267
50,268
51,269
52,270
53,271
54,272
55,273
56,274
57,275
58,276
59,277
60,278
61,279
62,280
63,281
64,282
65,283
66,284
67,285
68,286
69,287
70,288
71,289
72,290
73,291
74,292
75,293
76,294
77,295
78,296
79,297
80,298
81,299
82,300
83,301
84,302
85,303
86,304
87,305
88,306
89,307
90,308
91,309
92,310
93,311
94,312
95,313
96,314
97,315
98,316
99,317
100,318
101,319
102,320
103,321
104,322
105,323
106,324
107,325
108,326
109,327
110,328
111,329
